Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
7426,177,1.0,29.48029612477568,19.116841961498743,6.0,4,5.0,1967,0.0,B,B,36,6714,2,2672.0,0,2,B
2446,8,2.0,57.72252684149739,34.97059696902939,8.0,3,12.0,1979,0.219006007,B,B,28,6746,3,1162.0852713178294,1,4,B
4937,77,4.0,82.28700074551902,54.03737422339668,8.0,4,12.0,1976,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
12910,87,2.0,51.57888136931626,30.71452293668584,8.0,3,17.0,1987,0.100455735,B,B,43,7227,0,1162.0852713178294,1,6,A
7649,30,2.0,54.10198716813146,29.903354304528506,7.0,4,4.0,1952,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
6185,37,2.0,66.89014715756927,61.98424954890048,7.0,5,10.0,2018,0.178916796,B,B,18,3594,4,192.0,1,5,B
2837,77,3.0,82.95303847725529,50.88722039442873,8.0,3,12.0,1982,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
7463,48,2.0,82.29277266902147,42.383381597768434,10.0,2,22.0,2013,0.041124634,B,B,46,9515,5,1162.0852713178294,1,10,B
10339,1,3.0,78.03560084335301,36.52332724261017,1.0,14,17.0,1977,0.007122317,B,B,1,264,0,1162.0852713178294,0,1,B
3644,6,3.0,82.50410295433498,36.52332724261017,1.0,18,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
2923,66,3.0,98.95134588342312,57.34024922752951,13.0,24,27.0,2012,0.111627393,B,B,50,12238,8,1970.0,2,3,B
1872,30,2.0,52.44905662805961,52.79834949331681,1.0,17,17.0,2016,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
14108,17,1.0,32.23332778490517,20.974667932043825,7.0,7,9.0,1967,0.0,B,B,18,3374,5,620.0,1,2,B
4800,99,1.0,34.65933243040963,23.406655377816925,10.0,9,12.0,1974,0.012338886,B,B,35,5776,1,2078.0,2,4,B
7096,66,3.0,65.31380317542362,45.90746069981846,9.0,4,12.0,1955,0.161975568,B,A,31,7010,5,4508.0,3,7,B
11045,95,1.0,46.78767674845995,36.52332724261017,0.0,5,0.0,1977,0.0006991189999999,B,B,14,3369,24,4129.0,0,3,B
5131,34,1.0,45.7599465308024,42.01243005555953,1.0,17,25.0,2016,0.069753361,B,B,53,13670,4,1162.0852713178294,1,11,B
1161,27,1.0,41.88883468685247,36.52332724261017,1.0,9,1.0,2016,0.017647053,B,B,2,469,0,1162.0852713178294,0,0,B
25,15,1.0,45.12395140735664,20.62711020416448,8.0,13,14.0,2009,0.158249043,B,B,21,5731,0,1162.0852713178294,1,0,B
1282,22,2.0,44.41137805162795,32.90142497341364,5.0,5,5.0,1965,0.133215333,B,B,49,11395,3,1406.0,3,4,A
10266,23,3.0,78.70514518523436,78.95987403899757,1.0,4,3.0,2015,0.034656082,B,B,0,168,0,1162.0852713178294,0,0,B
436,96,1.0,39.82889019656105,24.11813461581805,8.0,6,12.0,2000,0.041116354,B,B,53,14892,4,1162.0852713178294,1,4,B
3747,23,5.0,139.04576318583412,89.79027379211708,42.0,1,3.0,2015,0.014072961,B,B,2,475,0,1162.0852713178294,0,0,B
8099,1,1.0,40.57502850132533,42.05730586289189,1.0,6,17.0,1977,0.007122317,B,B,1,264,0,1162.0852713178294,0,1,B
12529,47,1.0,41.9138065319164,19.623610186131916,9.0,12,17.0,2007,0.101872465,B,B,23,4583,3,1162.0852713178294,3,3,B
1068,8,3.0,74.65045894705932,50.084349927200506,9.0,9,14.0,1977,0.458174486,B,A,26,4439,1,1130.0,1,5,B
1573,39,1.0,46.29449902089583,21.96837793065621,11.0,7,16.0,2006,0.428825818,B,B,25,5011,8,730.0,0,2,B
15299,1,1.0,43.78871343674294,36.52332724261017,1.0,11,1.0,1977,0.014580716,B,B,3,760,1,1162.0852713178294,0,0,B
6954,74,1.0,50.22329815561478,36.52332724261017,1.0,17,1.0,1977,0.075778755,B,B,6,1437,3,1162.0852713178294,0,2,B
3051,111,3.0,63.56229648978121,45.510578550251104,5.0,5,5.0,1962,0.1363303,B,B,30,6141,10,262.0,3,6,B
1000,35,2.0,63.51602545003964,63.30459923450146,1.0,5,18.0,2015,0.089039719,B,B,33,7976,5,1162.0852713178294,0,11,B
1095,27,2.0,57.60356358302562,58.67384886246442,1.0,7,12.0,2017,0.011654127,B,B,4,915,0,1162.0852713178294,0,0,B
326,58,1.0,37.917701862362605,22.1901873202914,9.0,10,16.0,1975,0.050755569,B,B,24,5469,1,145.0,0,1,B
4651,53,3.0,82.55501077461489,36.52332724261017,1.0,2,19.0,1977,0.049637257,B,B,34,7759,0,229.0,1,3,B
2872,10,1.0,41.242613584250414,23.845088851381277,8.0,6,17.0,1988,0.089039719,B,B,33,7976,5,1162.0852713178294,0,11,B
11023,138,1.0,42.88464871409303,19.60640219842965,7.0,19,17.0,2012,0.0,B,B,36,6714,2,2672.0,0,2,B
13462,55,3.0,61.07003979974992,44.83078021432773,6.0,10,9.0,1972,0.012338886,B,B,35,5776,1,2078.0,2,4,B
506,13,1.0,43.30781866229455,23.4614368390247,8.0,18,19.0,2000,0.090799103,B,B,74,19083,2,1162.0852713178294,5,15,B
9416,46,2.0,39.82239250941871,24.76019042637932,7.0,7,9.0,1966,0.188783766,B,B,31,6137,4,1162.0852713178294,0,1,B
9829,141,1.0,36.55824071473082,21.950443028322443,5.0,10,9.0,1964,0.0006991189999999,B,B,14,3369,24,4129.0,0,3,B
14191,9,3.0,74.31162594106715,48.95848523414968,8.0,9,14.0,1993,0.161531741,B,B,25,5648,1,30.0,2,4,B
1758,6,1.0,42.09261628329656,36.52332724261017,1.0,19,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
15742,30,2.0,64.88878321604794,36.52332724261017,1.0,12,17.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
13456,6,1.0,38.90624910827649,22.77818604424768,6.0,9,17.0,2015,0.243204519,B,B,5,1564,0,540.0,0,0,B
14907,130,4.0,116.56493261709936,75.04516224181378,10.0,5,9.0,1960,0.21843974,B,B,21,4472,6,1450.0,4,7,A
13791,9,2.0,58.2142879088597,32.62616318965069,12.0,15,14.0,1999,0.31019913,B,B,11,2748,1,1162.0852713178294,0,0,B
11504,30,1.0,49.180144526448366,49.24812680102091,1.0,11,1.0,2014,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
4215,67,2.0,45.28358916239571,29.573402997902537,5.0,4,9.0,1976,0.0077202819999999,B,B,38,4788,2,1162.0852713178294,0,4,B
5409,19,1.0,45.78757940178234,21.411374160830555,9.0,6,25.0,2014,0.309479124,B,B,35,7715,4,990.0,0,6,B
15858,9,5.0,97.53781458586472,63.57199680170848,8.0,5,14.0,1995,0.136244425,B,B,11,2370,0,1162.0852713178294,0,1,B
